Name:  Albite NaAlSi3O8
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Framework silicates) (Feldspar Group)
Particle Size:  Solid
Sample No.:  albite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Rutherford, Virginia, USA via the Smithsonian 
(sample no. NMNHC5390) and Bruce Hemingway.
Description: The sample was a large (2 cm x 2 cm x 2 cm) fragment of 
a twinned crystal.  The sample appeared very fresh.  It was 
translucent and light gray to white in color.  This is a sample of the classic 
Amelia albite.


Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: albite1a.txt
1003.057   52.5968
1004.986   53.3370
1006.915   53.7096
1008.844   53.8080
1010.772   53.4960
1012.701   52.6463
1014.630   51.0673
1016.559   48.4467
1018.488   45.1639
1020.417   42.5849
1022.346   42.0360
1024.275   43.8102
1026.204   47.4115
1028.133   52.2562
1030.062   57.7652
1031.991   63.2559
1033.920   67.9686
1035.849   71.4324
1037.778   73.7837
1039.707   75.3069
1041.636   76.0213
1043.565   76.0042
1045.494   75.2920
1047.423   73.5713
1049.352   70.5118
1051.281   66.3814
1053.210   62.1453
1055.139   58.8651
1057.067   56.8753
1058.996   55.8431
1060.925   55.2826
1062.854   54.9627
1064.783   54.7066
1066.712   54.1898
1068.641   53.2528
1070.570   52.1000
1072.499   51.0458
1074.428   50.2611
1076.357   49.8575
1078.286   49.7438
1080.215   49.7723
1082.144   49.9159
1084.073   50.1498
1086.002   50.3353
1087.931   50.3671
1089.860   50.2499
1091.789   49.9801
1093.718   49.4623
1095.647   48.6683
1097.576   47.5824
1099.505   46.1154
1101.434   44.3561
1103.362   42.5932
1105.291   40.9132
1107.220   39.2118
1109.149   37.5194
1111.078   35.8642
1113.007   34.2943
1114.936   32.9882
1116.865   32.1349
1118.794   31.8368
1120.723   32.1554
1122.652   33.0795
1124.581   34.4403
1126.510   36.0819
1128.439   37.8764
1130.368   39.6669
1132.297   41.3344
1134.226   42.8285
1136.155   44.2172
1138.084   45.4679
1140.013   46.5736
1141.942   47.6085
1143.871   48.5463
1145.800   49.3290
1147.729   50.0345
1149.657   50.6918
1151.586   51.3695
1153.515   52.2325
1155.444   53.3558
1157.373   54.6175
1159.302   55.8443
1161.231   56.9422
1163.160   57.8148
1165.089   58.4864
1167.018   59.0726
1168.947   59.5728
1170.876   59.9920
1172.805   60.3963
1174.734   60.7843
1176.663   61.1268
1178.592   61.4696
1180.521   61.8773
1182.450   62.2916
1184.379   62.6600
1186.308   63.0116
1188.237   63.2877
1190.166   63.4068
1192.095   63.4608
1194.024   63.4498
1195.952   63.2501
1197.881   62.9154
1199.810   62.5191
1201.739   62.0118
1203.668   61.4095
1205.597   60.8194
1207.526   60.1978
1209.455   59.5055
1211.384   58.8497
1213.313   58.2240
1215.242   57.4964
1217.171   56.6747
1219.100   55.8072
1221.029   54.7591
1222.958   53.5162
1224.887   52.2215
1226.815   50.8407
1228.744   49.3197
1230.673   47.7675
1232.602   46.2018
1234.531   44.5697
1236.460   42.9279
1238.389   41.3087
1240.318   39.6557
1242.247   38.0084
1244.176   36.4377
1246.105   34.9413
1248.034   33.5314
1249.963   32.2641
1251.892   31.1091
1253.821   30.0158
1255.750   28.9882
1257.679   27.9802
1259.608   26.9628
1261.537   25.9284
1263.466   24.8737
1265.395   23.7729
1267.324   22.6220
1269.253   21.4448
1271.182   20.2385
1273.110   18.9873
1275.039   17.7294
1276.968   16.4807
1278.897   15.1958
1280.826   13.8842
1282.755   12.5735
1284.684   11.2583
1286.613    9.9555
1288.542    8.7295
1290.471    7.6233
1292.400    6.6728
1294.329    5.9309
1296.258    5.4250
1298.187    5.1326
1300.116    5.0229
1302.045    5.0481
1303.974    5.1614
1305.903    5.3220
1307.832    5.4983
1309.761    5.6882
1311.690    5.8799
1313.619    6.0639
1315.548    6.2554
1317.477    6.4402
1319.405    6.6221
1321.334    6.7954
1323.263    6.9653
1325.192    7.1313
1327.121    7.2890
1329.050    7.4482
1330.979    7.5947
1332.908    7.7431
1334.837    7.8904
1336.766    8.0217
1338.695    8.1433
1340.624    8.2722
1342.553    8.3989
1344.482    8.5105
1346.411    8.6223
1348.340    8.7307
1350.269    8.8242
1352.198    8.9236
1354.127    9.0254
1356.056    9.1211
1357.985    9.2148
1359.914    9.3039
1361.843    9.3889
1363.772    9.4697
1365.700    9.5473
1367.629    9.6216
1369.558    9.6968
1371.487    9.7705
1373.416    9.8391
1375.345    9.9048
1377.274    9.9743
1379.203   10.0447
1381.132   10.1130
1383.061   10.1743
1384.990   10.2444
1386.919   10.3020
1388.848   10.3559
1390.777   10.4287
1392.706   10.4941
1394.635   10.5444
1396.563   10.6093
1398.492   10.6806
1400.421   10.7448
1402.350   10.7978
1404.279   10.8542
1406.208   10.9116
1408.137   10.9631
1410.066   11.0158
1411.995   11.0749
1413.924   11.1198
1415.853   11.1565
1417.782   11.1989
1419.711   11.2361
1421.640   11.2903
1423.569   11.3432
1425.498   11.3950
1427.427   11.4360
1429.356   11.4758
1431.285   11.5215
1433.214   11.5581
1435.143   11.5796
1437.072   11.6150
1439.001   11.6596
1440.930   11.6821
1442.858   11.7153
1444.787   11.7580
1446.716   11.7861
1448.645   11.8127
1450.574   11.8664
1452.503   11.9060
1454.432   11.9245
1456.361   11.9279
1458.290   11.9748
1460.219   12.0373
1462.148   12.0815
1464.077   12.1152
1466.006   12.1523
1467.935   12.2107
1469.864   12.2500
1471.793   12.2522
1473.722   12.2744
1475.651   12.3213
1477.580   12.3532
1479.509   12.3811
1481.438   12.4057
1483.367   12.4223
1485.296   12.4238
1487.225   12.4424
1489.153   12.4653
1491.082   12.4882
1493.011   12.5219
1494.940   12.5429
1496.869   12.5547
1498.798   12.5825
1500.727   12.6132
1502.656   12.6469
1504.585   12.6423
1506.514   12.6225
1508.443   12.6684
1510.372   12.7180
1512.301   12.7326
1514.230   12.7502
1516.159   12.7573
1518.088   12.7644
1520.017   12.7729
1521.946   12.7878
1523.875   12.8264
1525.804   12.8508
1527.733   12.8833
1529.662   12.9023
1531.591   12.9040
1533.520   12.9118
1535.448   12.9423
1537.377   12.9472
1539.306   12.9260
1541.235   12.9463
1543.164   12.9831
1545.093   13.0249
1547.022   13.0610
1548.951   13.0630
1550.880   13.0744
1552.809   13.0923
1554.738   13.1118
1556.667   13.1198
1558.596   13.1008
1560.525   13.1360
1562.454   13.1960
1564.383   13.2175
1566.312   13.2424
1568.241   13.2485
1570.170   13.2570
1572.099   13.2939
1574.028   13.3059
1575.957   13.2885
1577.886   13.3303
1579.815   13.3764
1581.743   13.3835
1583.672   13.4016
1585.601   13.4262
1587.530   13.4355
1589.459   13.4394
1591.388   13.4494
1593.317   13.4550
1595.246   13.4624
1597.175   13.4841
1599.104   13.5102
1601.033   13.5156
1602.962   13.5354
1604.891   13.5576
1606.820   13.5637
1608.749   13.5766
1610.678   13.5854
1612.606   13.5993
1614.535   13.5942
1616.464   13.5732
1618.393   13.5910
1620.322   13.6179
1622.251   13.6262
1624.180   13.6416
1626.109   13.6494
1628.038   13.6535
1629.967   13.6848
1631.896   13.7041
1633.825   13.6887
1635.754   13.6845
